Gene,Delta_Correlation,P_Value,FDR,Cancer
ABCC4,0.3758442409490903,0.0137416174698717,0.0483784308903209,HNSCC
ABCC5,0.515332755693175,7.737284221228618e-05,0.0007410342215588,HNSCC
ABCD1,0.5240220752999258,4.297766359119581e-06,6.387624984160122e-05,HNSCC
ABCD3,-0.1345062763739041,0.3408430967173955,0.5086307389729213,HNSCC
ABCD4,-0.2719429177633512,0.2036136962593895,0.3564244778175492,HNSCC
ABCE1,0.4607152885724314,7.330985082625025e-05,0.0007113608609528,HNSCC
ABCF1,0.5382417780582918,5.1704600111895874e-11,2.271275947257696e-09,HNSCC
ABCF3,0.2854894246768428,0.0017884879751591,0.009826104075353,HNSCC
ABCG1,0.1828096903833911,0.2088241395714848,0.3624513066280116,HNSCC
ABCG2,-0.1156047986543342,0.4895221962444245,0.6474461924637198,HNSCC
ABHD10,0.025920982598571,0.8910433922574963,0.9399086166895732,HNSCC
ABHD11,0.3698644945433936,0.0023320536903289,0.0120520336979798,HNSCC
ABHD12,0.371385043704834,0.021776859481257,0.0689564092406846,HNSCC
ABHD13,0.1223385212026905,0.5625402874517553,0.7102219047629793,HNSCC
ABHD14B,0.0261910872592393,0.7741676510374278,0.8679620641075465,HNSCC
ABHD16A,0.5401575407342117,0.0002195396122659,0.0017767222396825,HNSCC
ABHD17A,0.3503113974913627,0.1179262732037033,0.2395369748557623,HNSCC
ABHD17B,0.4257117946698549,0.0105321758794938,0.0393072250963736,HNSCC
ABHD17C,0.6481353245912891,0.0009253494908433,0.0058106942915028,HNSCC
ABHD2,0.2544037960513933,0.342840126815203,0.5109072305473502,HNSCC
ABHD3,0.0129312935697153,0.9549687475171412,0.977317160854986,HNSCC
ABHD4,0.2454843735839804,0.1198977475131944,0.2424808863020887,HNSCC
ABHD5,0.3274929144391792,0.0249218054652655,0.0759651278175822,HNSCC
ABHD6,0.0028781752766026,0.9772243027185568,0.9879686818822224,HNSCC
ABI1,-0.1260958155576628,0.3638716219932217,0.5311487147125578,HNSCC
ABI2,0.3047929873829932,0.0031048094613098,0.0152151265661778,HNSCC
ABI3,0.1893394822031782,0.0429255298513484,0.1131683609381861,HNSCC
ABI3BP,0.5268973018055587,2.979214143322988e-41,1.2105540135702406e-38,HNSCC
ABL1,0.1218141151823982,0.4915718962834924,0.6488642572491361,HNSCC
ABL2,0.2269468287304023,0.1655817976063602,0.3072281073261917,HNSCC
ABLIM1,0.1818815286330373,0.000214239729574,0.0017483396174113,HNSCC
ABLIM2,-0.1172974912731333,0.1075022317068588,0.2243925007716797,HNSCC
ABLIM3,0.1368470958866839,0.0172590090867791,0.0576798686135264,HNSCC
ABO,-0.051373602629415,0.7851863444600476,0.8754963855594909,HNSCC
ABRACL,0.2993866508182521,0.0314579728754368,0.0896487876917767,HNSCC
ABT1,-0.2554542418369417,0.0753350627384737,0.172090992560618,HNSCC
ABTB1,-0.4817512663319062,0.009067451453223,0.0349647238322781,HNSCC
ABTB2,0.126920517121205,0.541033035000351,0.6911388731102205,HNSCC
AC093323.1,0.3361491072841348,0.2611457865132108,0.422057293681941,HNSCC
ACAA1,0.1450615929711604,0.263163903759511,0.4248260866516721,HNSCC
ACAA2,-0.2015947790652902,0.0154982527027504,0.0532179437877542,HNSCC
ACACA,0.0219359877485697,0.8832522728472717,0.9353324101212502,HNSCC
ACACB,-0.5839318648088179,0.0002032161957427,0.0016723749712098,HNSCC
ACAD10,0.002208535150868,0.9818533188125372,0.9904865589179542,HNSCC
ACAD11,0.1167103812673432,0.5908142250195678,0.7316343266528033,HNSCC
ACAD8,0.6678972065800375,6.063499726541765e-23,9.239257708318014e-21,HNSCC
ACAD9,0.8357496824665894,4.690882450175623e-07,8.834850483422437e-06,HNSCC
ACADL,-0.7429777652687869,0.0013231513496631,0.0077265700370749,HNSCC
ACADM,0.3249244314185336,5.965185482315032e-05,0.0005960295986018,HNSCC
ACADS,-0.2769456115065551,0.0038422436262904,0.0180332034721358,HNSCC
ACADSB,0.1137876687090317,0.0012049047060297,0.0072309111958167,HNSCC
ACADVL,-0.1083567686254448,0.1235173200929874,0.24764410064696,HNSCC
ACAN,-0.4958344857651046,0.0013091393733067,0.0076631015417093,HNSCC
ACAP1,0.0670302771154671,0.3490188983924683,0.516719644318104,HNSCC
ACAP2,0.1702071477104243,0.0112404258633069,0.0412221614926464,HNSCC
ACAP3,0.0876336427135894,0.6940848549971896,0.8112575219446228,HNSCC
ACAT1,-0.1758111857325487,0.0089143114357213,0.0345445211086994,HNSCC
ACAT2,-0.0271048658401213,0.814531567411454,0.8952227933502197,HNSCC
ACBD3,-0.1635570251363174,0.2608122092778303,0.4217977885368824,HNSCC
ACBD5,0.1688189413222178,0.2023977562633269,0.354700362702193,HNSCC
ACBD7,0.1588597118491445,0.4045274981300143,0.5703270437709845,HNSCC
ACD,-0.2643416841408233,0.4325015194030447,0.5948039510955425,HNSCC
ACE,0.0602490469397415,0.6775565029938435,0.7982155017562261,HNSCC
ACHE,-0.3924166350890488,0.0126405183075018,0.0453533239642228,HNSCC
ACIN1,-0.1772186463460132,0.1794553975809969,0.3258329989219665,HNSCC
ACKR1,0.1067729265619291,0.3024742898527184,0.4676913389319344,HNSCC
ACKR3,0.1586910439851616,0.2447079725939791,0.4041553371940944,HNSCC
ACLY,-0.3022392014412514,0.0035847180102929,0.0170694189630747,HNSCC
ACO1,0.3244623277257615,0.0258646326391399,0.078138753871404,HNSCC
ACO2,-0.199469241987221,0.1693127795276807,0.312360617849781,HNSCC
ACOT11,0.1815988618020072,0.0807801028509253,0.1814296552285177,HNSCC
ACOT13,-0.0604618966807695,0.7233614526283567,0.8322582451665568,HNSCC
ACOT2,-0.2872231196913593,0.2374866469018998,0.3960276642591188,HNSCC
ACOT7,0.4990354836273192,1.998585462179633e-15,1.546841700569506e-13,HNSCC
ACOT8,0.1102410010732422,0.5032757082943907,0.658872963792039,HNSCC
ACOT9,0.068250983641565,0.6113384093788378,0.7488722733654598,HNSCC
ACOX1,-0.2197315710632074,0.0485872624901827,0.1241024053966113,HNSCC
ACOX3,0.0103182142500621,0.9797870729791374,0.98932320725746,HNSCC
ACP1,0.2366928997979828,0.0652744192380725,0.1541671437175306,HNSCC
ACP2,-0.0832945293168098,0.2351802317239377,0.3937902553061284,HNSCC
ACP5,0.4805805191585008,5.406733204059189e-11,2.3433983202660092e-09,HNSCC
ACP6,-0.0498501739130834,0.6811691024255926,0.8012014337057507,HNSCC
ACSF2,0.2337203116036667,0.0417516525878284,0.1108225683278452,HNSCC
ACSF3,0.427568683132248,0.0072960633142883,0.0296710631530193,HNSCC
ACSL1,0.3323384037773059,0.0084908154868004,0.0334285153925225,HNSCC
ACSL3,0.1253189617934047,0.2970760104778184,0.4616133292191977,HNSCC
ACSL4,0.1305015256784588,0.0014707979688583,0.0083780501123286,HNSCC
ACSL5,0.138254293083913,0.0560467378547286,0.138231610409538,HNSCC
ACSM3,-0.1141178243396351,0.5260738048490247,0.6791112207063708,HNSCC
ACSS1,0.3192184261843501,0.0004057742917564,0.0029530678307526,HNSCC
ACSS2,0.0403769872577212,0.6951798199090607,0.8120006711885448,HNSCC
ACSS3,-0.0587561775831763,0.2017727617173996,0.3539643770944561,HNSCC
ACTA1,-0.1820407588231964,0.0478548146277148,0.1225525609898831,HNSCC
ACTA2,-0.1115045747352431,0.353819740039794,0.5212947733597327,HNSCC
ACTB,-0.1470875642369745,0.374274222978367,0.5399293228528158,HNSCC
ACTBL2,0.4715067159312434,0.0052935482389122,0.0232325303446768,HNSCC
ACTG1,-0.290401626286292,0.0935471289349816,0.2019669411773664,HNSCC
ACTL6A,0.2101123477139204,0.1253035786218074,0.2507099915305429,HNSCC
ACTL8,0.1192369780617547,0.6544156454087442,0.7816119257839649,HNSCC
ACTN1,0.2822987763849099,0.0037287211780721,0.0176208599360102,HNSCC
ACTN2,-0.1556472207258576,0.0522139084788853,0.1315056909829776,HNSCC
ACTN3,-0.3973868059835392,0.0093210091498718,0.0356884496386143,HNSCC
ACTN4,0.0055854460441616,0.997263989412119,0.9985332954050732,HNSCC
ACTR10,0.2857209745021016,0.0882189024904097,0.1937636795239811,HNSCC
ACTR1A,0.3934884650612042,0.0141609523352415,0.0496640465699161,HNSCC
ACTR1B,0.076330047516155,0.6242673203526841,0.7586112034989876,HNSCC
ACTR2,-0.3233149706019955,0.0323939456501225,0.0913814746832499,HNSCC
ACTR3,-0.3946164527619311,0.0073669265068532,0.0299218106184228,HNSCC
ACTR3B,-0.0208874422330715,0.913848381932811,0.9539551938138272,HNSCC
ACTR5,0.4009114899481872,0.0173213827935505,0.0578486729461319,HNSCC
ACTR6,0.1148387629514759,0.4989921822590183,0.6548943342309369,HNSCC
ACTR8,-0.0757455123248046,0.6374252546497328,0.770162657915229,HNSCC
ACTRT1,-0.5480473512040033,0.0280986611082317,0.0824132806447441,HNSCC
ACVR1,0.4046780134978892,0.0116876045817119,0.0426402992446146,HNSCC
ACVR2A,0.1271129425616012,0.5794098049349847,0.7231129277867893,HNSCC
ACY1,0.1726018395546573,0.3219584868588639,0.4885993096557176,HNSCC
ACYP1,-0.1435715435780966,0.3866238718854138,0.5521903923003156,HNSCC
ACYP2,-0.3981989518752298,0.0035435803241406,0.0168982862205472,HNSCC
ADA,0.0866640843836126,0.2503962127197167,0.4103972884777608,HNSCC
ADAL,-0.2335935374533015,0.0816606886897225,0.182589653078446,HNSCC
ADAM15,0.4086801029723703,0.0001851642377666,0.0015486463522305,HNSCC
ADAM17,0.1049076519456598,0.2043327311858516,0.3573596380460201,HNSCC
ADAM28,0.2003917202688054,0.2519839860262439,0.4119610782444142,HNSCC
ADAM8,0.1575081856632182,0.3841294060628896,0.5495129775451517,HNSCC
ADAM9,-0.007037639842358,0.7719335210403738,0.8661714068790387,HNSCC
ADAMDEC1,0.0562616589976371,0.8759310666734168,0.9319482586717108,HNSCC
ADAMTS1,-0.4184646107246726,0.1321083682991515,0.2604246629580202,HNSCC
ADAMTS12,0.4707590775695717,0.0217364387415216,0.0688673653694994,HNSCC
ADAMTS2,0.1228463431384869,0.1946437577928763,0.3451838381516876,HNSCC
ADAMTS4,0.2727001794564049,0.0078679391348826,0.0314717565395305,HNSCC
ADAMTS7,0.213912947435272,0.0765981501098462,0.1743110270318845,HNSCC
ADAMTSL1,-0.2665821924409242,0.150766541596297,0.2861613050413171,HNSCC
ADAMTSL2,0.2104576721767412,0.3493056934551548,0.5168249837828314,HNSCC
ADAMTSL4,0.3628625320696094,0.0044626214223672,0.0202888037813172,HNSCC
ADAMTSL5,-0.050090075555914,0.7512680548700422,0.8509135971071605,HNSCC
ADAP1,-0.0184297137476409,0.8565618128733898,0.9201783949927748,HNSCC
ADAP2,0.1417632707344371,0.2398211151329475,0.3990335292230855,HNSCC
ADAR,0.2342630314429005,0.0263051014921326,0.07891166826844,HNSCC
ADARB1,0.0876970121727657,0.6083121263516273,0.7462900812908629,HNSCC
ADAT1,0.3561405695835645,0.0484679429710438,0.1238300706978307,HNSCC
ADAT2,0.3712887776675152,0.0619865927573924,0.1486702539523097,HNSCC
ADAT3,0.1057679846277487,0.5234225829088897,0.6773999566383673,HNSCC
ADCK1,0.3639726882155005,0.0369530501863821,0.1009994802179367,HNSCC
ADCK5,0.3808881617685906,0.0476963847908073,0.1223218013046753,HNSCC
ADCY3,-0.0210718530658362,0.9251555757375852,0.9609280850715688,HNSCC
ADCY7,0.1213533834586466,0.6860300575331784,0.8054617289987425,HNSCC
ADCY9,-0.5818965517241379,0.0655637900904736,0.1545511435731929,HNSCC
ADD1,0.0425086496165471,0.7830855894077137,0.8743589040421369,HNSCC
ADD2,0.1089850983560026,0.4914973517717405,0.6488642572491361,HNSCC
ADD3,-0.0436845618948523,0.639399177218268,0.7711282267804547,HNSCC
ADH1B,-0.1437150919639511,0.0085237677572284,0.0335176545034241,HNSCC
ADH1C,0.1065761046372042,0.1017286274999287,0.215290272434745,HNSCC
ADH4,-0.5094814435726733,2.6324083288486585e-06,4.094297611312938e-05,HNSCC
ADH5,0.6564593173112178,0.0005944879653847,0.004037219107543,HNSCC
ADH7,-0.125729268783004,0.0118633096346009,0.0431521803642776,HNSCC
ADHFE1,-0.4731074481074481,0.0023404364128542,0.0120761565598701,HNSCC
ADI1,0.1340903639593024,0.2885256062947406,0.4525819064800243,HNSCC
ADIPOQ,0.0628700778576673,0.5101439752393992,0.6651556226402315,HNSCC
ADIPOR1,-0.0648245979760742,0.7665970265891785,0.8623073590777501,HNSCC
ADIRF,0.2067877717550063,5.290095092888397e-11,2.3134084011590873e-09,HNSCC
ADK,0.1592946434034244,0.1430844962517178,0.2761942220475713,HNSCC
ADNP,0.3817557400978109,0.0024972010802008,0.0127168171979729,HNSCC
ADNP2,0.0882400519424113,0.6523992911862304,0.7795855762342996,HNSCC
ADO,0.5452318902449964,0.0002976863191592,0.0022733257513241,HNSCC
ADPGK,0.1156951095024489,0.1031987024062456,0.217617334829333,HNSCC
ADPRH,0.2358732042283811,0.0237713697432361,0.0734532312218122,HNSCC
ADPRHL1,-0.3878923739998445,0.0021434402683879,0.0112501773397843,HNSCC
ADRM1,0.2341238470006491,0.0562879110892682,0.1387385201425454,HNSCC
ADSL,-0.2544444901915412,0.0231002785437747,0.0719954989961303,HNSCC
AEBP1,0.5816728018890535,2.66067746126101e-09,8.058051739819059e-08,HNSCC
AEBP2,0.6485731505620498,0.0132939396235359,0.0471255904066601,HNSCC
AFAP1,0.2668454613998519,0.0028732222657706,0.0142884566730218,HNSCC
AFAP1L1,0.1288533568081019,0.2936775964477237,0.4578591916978607,HNSCC
AFAP1L2,0.3356099128632861,1.2413824674749668e-16,1.110638699340906e-14,HNSCC
AFF1,0.1768863405948521,0.4569157832279672,0.6177796686425451,HNSCC
AFF4,-0.500780646861905,0.002537875463379,0.0129140794217257,HNSCC
AFG3L2,0.1722682880153391,0.1235020503952375,0.24764410064696,HNSCC
AFMID,-0.0879944616786722,0.7248595744560327,0.833097297595195,HNSCC
AFTPH,0.050366691860794,0.7578239067317584,0.8555692980510635,HNSCC
AGA,0.2387262367472066,0.0815914113187417,0.1825790369849401,HNSCC
AGAP1,0.1565794563120394,0.3876295042566403,0.5529787778687474,HNSCC
AGAP2,0.180499651069769,0.2560533169183178,0.4165190903398557,HNSCC
AGAP3,-0.0668052922754397,0.5889127099007961,0.7302162326767905,HNSCC
AGBL1,-0.4582746612158377,0.0412337267234369,0.1097165901792516,HNSCC
AGFG1,0.2788842743102245,0.0104406070492153,0.0390491848540516,HNSCC
AGFG2,-0.1019096650223779,0.0068205749366688,0.0282660011895431,HNSCC
AGK,0.5311048966619085,0.0001585646783983,0.0013579575919994,HNSCC
AGL,-0.2623840928297023,0.0110636178640704,0.0407292600562756,HNSCC
AGMAT,0.0496025268363634,0.805236351736909,0.8892377221527465,HNSCC
AGO1,-0.0683224115334207,0.7172265451815415,0.8268581710143508,HNSCC
AGO2,0.2024283611963821,0.2310112444957075,0.3890576737356666,HNSCC
AGO3,0.4853009586495825,0.005192862186537,0.0228833222065562,HNSCC
AGPAT1,0.383911905812299,0.0294126622579815,0.0849873429155071,HNSCC
AGPAT2,0.5614280676993652,0.0012286144116281,0.0073191495065351,HNSCC
AGPAT3,0.1057805226547035,0.5165671231580733,0.6708040452787889,HNSCC
AGPAT4,0.4197490667425548,0.0068145617536808,0.0282660011895431,HNSCC
AGPAT5,0.2294655433122012,0.0974424756432524,0.2081618888221243,HNSCC
AGPS,0.1731044393953961,0.0177899731615133,0.0589193441523882,HNSCC
AGR2,-0.2122966601603561,0.0400250567053673,0.1072300110395431,HNSCC
AGR3,-0.2311192736556638,0.0268766300171931,0.079860114542251,HNSCC
AGRN,0.4629829394508293,0.0058890470520084,0.025210705378045,HNSCC
AGT,-0.0294531225920479,0.8432476620043009,0.9118922611717026,HNSCC
AGTPBP1,-0.116911610935202,0.4355113727136066,0.597594893302813,HNSCC
AGTRAP,0.3584381105416492,0.0287903995237488,0.0836104753292431,HNSCC
AHCTF1,0.2777463868355087,0.0004802672186036,0.0033938883447991,HNSCC
AHCY,0.0860948519795178,0.4239579883822144,0.5867780730490143,HNSCC
AHCYL1,0.0835792191231247,0.6388742761075544,0.7708048489585383,HNSCC
AHCYL2,0.3317924709274644,0.0031888857882378,0.015510231524636,HNSCC
AHDC1,0.0811484979899134,0.5715540199620548,0.716915294360053,HNSCC
AHNAK,-0.0484176204615808,0.4956618839449286,0.6524085156203191,HNSCC
AHNAK2,-0.0493980297977677,0.4415409381617647,0.6028149557543792,HNSCC
AHSA1,0.4695509265627221,6.970156787374891e-13,3.8841696565988526e-11,HNSCC
AHSG,-0.2214810309363145,0.1906220103592668,0.3404039269407746,HNSCC
AHSP,-0.4585165650424964,0.0080997129555332,0.0322410336546209,HNSCC
AIDA,0.4591230442541059,0.0088365039706315,0.034332106263585,HNSCC
AIF1,0.138758611124273,0.0081179812734985,0.0322733605296198,HNSCC
AIF1L,0.1635289106062369,5.68172670842767e-18,5.596787763695619e-16,HNSCC
AIFM1,0.540783018299401,0.0025691877673401,0.0130289750946965,HNSCC
AIFM2,0.4223078848111614,0.0093047537215957,0.0356402035714853,HNSCC
AIG1,0.1408268469220879,0.4295810794639813,0.5926262111943338,HNSCC
AIM2,0.8789480657127715,0.0019118546537181,0.0103077918832075,HNSCC
AIMP1,0.0323819537056758,0.8559263487053109,0.9197789259034924,HNSCC
AIMP2,0.4775886957956388,0.0009160426369746,0.0057671063884937,HNSCC
AIP,0.2685319421820077,0.003980935851901,0.0185485362769893,HNSCC
AJUBA,0.2617096684265753,0.0270966504661041,0.0802936904726368,HNSCC
AK1,-0.2223485281676631,0.0268621889505993,0.079860114542251,HNSCC
AK2,0.6478586172426277,0.0004191601180726,0.0030323809135346,HNSCC
AK3,0.4418759128654279,3.0226798442760037e-09,9.069899643501412e-08,HNSCC
AK4,0.58757505450166,3.847525668334809e-07,7.400605585325652e-06,HNSCC
AKAP1,0.0558140562989842,0.4651604540442703,0.6257591644716757,HNSCC
AKAP10,0.2143287313798454,0.1542259831976458,0.2911590205598319,HNSCC
AKAP11,0.2997067168954456,0.0657356326441182,0.1548121405847369,HNSCC
AKAP12,-0.1218713839028386,0.0728464847817121,0.1676981661537571,HNSCC
AKAP13,0.3273754259271952,0.0198432718406184,0.0640189954535029,HNSCC
AKAP17A,0.0182230269675281,0.8856287785639314,0.9366339881352072,HNSCC
AKAP6,-0.3130953579001065,0.1440748165736148,0.2774822205047668,HNSCC
AKAP7,-0.2962350457424349,0.2005419053581443,0.3523756146040763,HNSCC
AKAP8,0.0969549546482705,0.4321654366431436,0.5945094284305172,HNSCC
AKAP8L,0.3545993949729206,0.0006367649899253,0.0042737317149013,HNSCC
AKAP9,0.5263089184910941,6.757891061105398e-05,0.0006623412424914,HNSCC
AKNA,-0.1094259343936018,0.4738249875960585,0.633933499662061,HNSCC
AKR1A1,-0.1319581357327098,0.2646330673735743,0.4266641636536,HNSCC
AKR1B1,-0.1155287178550612,0.4147267625144641,0.5789838256852403,HNSCC
AKR1B10,0.3449642812290255,9.75546016945456e-09,2.702705896946616e-07,HNSCC
AKR1C1,0.1188848746450319,0.2257952365294449,0.3829487211539385,HNSCC
AKR1C2,0.1418281689972385,0.0526893900004363,0.1323613939423635,HNSCC
AKR1C3,0.1624676221727334,0.095557964868828,0.2050795055899671,HNSCC
AKR7A2,0.4061855876403714,0.0061347691898392,0.0260528898855375,HNSCC
AKR7A3,0.3858765634477241,0.0149021887240451,0.0516072956096905,HNSCC
AKT1,-0.2176922048940398,0.1085334869213481,0.2257265957564263,HNSCC
AKT1S1,0.2967838983304252,0.1003978923661264,0.2131215164028004,HNSCC
AKT2,-0.1412945886602505,0.2901736570236933,0.4542172557455951,HNSCC
AKT3,0.3754050814981732,0.0036576045259828,0.0173487156310238,HNSCC
AKTIP,0.0975823965273506,0.5464088058441828,0.6954553216643788,HNSCC
ALAD,0.4756629674388521,1.7090128347540716e-05,0.0002067778308253,HNSCC
ALAS1,0.0972508996519379,0.690532386070592,0.8087032339330387,HNSCC
ALB,0.121644202616364,0.4362091380152221,0.5982156537652152,HNSCC
ALCAM,0.0691490909642941,0.314710303243194,0.4809676974185282,HNSCC
ALDH16A1,0.195771496931392,0.0952542103047847,0.204607722222965,HNSCC
ALDH18A1,-0.370048218484291,0.0002873656540073,0.0022188359919867,HNSCC
ALDH1A1,0.0592996507937529,0.136600406007507,0.2670663912159601,HNSCC
ALDH1A2,-0.1660825002633653,0.0652655202926487,0.1541671437175306,HNSCC
ALDH1A3,0.0303603917955163,0.782603369027552,0.8740852710848082,HNSCC
ALDH1B1,-0.0334385176652541,0.8105717352079977,0.891976479547325,HNSCC
ALDH1L1,-0.1256405549393754,0.0142542082408435,0.049948630529898,HNSCC
ALDH1L2,-0.1044695639453175,0.1639596773752144,0.3047277795729772,HNSCC
ALDH2,-0.0774497800382466,0.2200216859816927,0.3768929354810235,HNSCC
ALDH3A1,-0.1574330994711072,0.0041586203177455,0.019242300900526,HNSCC
ALDH3A2,0.1312683004360593,0.0012472456789552,0.0073850272381128,HNSCC
ALDH3B1,0.2692906894741757,0.121516011979566,0.2447385685305097,HNSCC
ALDH4A1,0.0142180397619454,0.9173034946141224,0.956253083778538,HNSCC
ALDH5A1,0.5897780693324599,7.828161372608652e-10,2.726436775202842e-08,HNSCC
ALDH6A1,0.0383661508694274,0.4364558531159439,0.5983068715863634,HNSCC
ALDH7A1,0.3377102471401292,8.701854741082474e-05,0.0008159662253368,HNSCC
ALDH9A1,0.2355465162870143,7.330577006865218e-07,1.3214008682245768e-05,HNSCC
ALDOA,-0.4523030623400651,0.0601041926512753,0.1452629706902694,HNSCC
ALDOC,0.6125028050126347,1.618399209584912e-11,7.551497173144527e-10,HNSCC
ALG1,-0.3647015254944481,0.0067874686165037,0.0281905425673528,HNSCC
ALG11,-0.055260184185479,0.6756634014085438,0.7969363196100773,HNSCC
ALG12,0.0159927262815096,0.9460683248869882,0.9714918470987584,HNSCC
ALG13,-0.2362742531811994,0.187741235416047,0.3365537734884725,HNSCC
ALG14,0.0054059561375088,0.9976302046626332,0.9987360662297604,HNSCC
ALG2,-0.1544161916507919,0.0686728448657075,0.1603131265661074,HNSCC
ALG3,-0.1842443644124316,0.1926779760055478,0.3428824127748362,HNSCC
ALG5,-0.2448851083385815,0.0208484169533542,0.0665547956246888,HNSCC
ALG6,-0.1246634375861112,0.472517076266457,0.6326175903007261,HNSCC
ALG8,0.005260285391347,0.9901607814384956,0.9952636508542784,HNSCC
ALKBH1,0.4202215049828269,0.0263868937558106,0.0790030768014608,HNSCC
ALKBH2,1.0629791839714062,9.24921084296928e-06,0.0001213974483723,HNSCC
ALKBH3,0.4789165111313787,0.0084791277237759,0.0334136777643091,HNSCC
ALKBH4,0.7471227723783425,4.037149105449735e-06,6.0662986250147634e-05,HNSCC
ALKBH5,0.2761504531032709,0.0509702511340527,0.1289060915610173,HNSCC
ALKBH6,0.7683321977439624,0.0273591416489517,0.0808749164475833,HNSCC
ALKBH7,0.2348487573200481,0.075362835650332,0.172090992560618,HNSCC
ALKBH8,0.4493377092899319,0.0182044612981414,0.0599702001305956,HNSCC
ALMS1,-0.1450170519136036,0.5427498026329858,0.6926967772905218,HNSCC
ALOX12,-0.1734570780658435,0.0472273900053252,0.1214944400089244,HNSCC
ALOX12B,-0.0559244078180955,0.6974604797308395,0.8130105335721848,HNSCC
ALOX15,0.0717381910602431,0.5891449260357863,0.7302162326767905,HNSCC
ALOX15B,0.0695860864012896,0.4774992493560112,0.6371697085861313,HNSCC
ALOX5,-0.0714411416573932,0.2796605387198878,0.4422120552545041,HNSCC
ALOX5AP,0.2901324094771015,0.0410997098006115,0.1093898389671299,HNSCC
ALPK1,0.7407160435024212,0.0047366964896269,0.0212867576805723,HNSCC
ALPK3,-0.1878235607139261,0.1486097994792059,0.2829999540170311,HNSCC
ALPL,0.2785162368714138,0.0024528188463658,0.0125235022983034,HNSCC
ALS2,-0.1864748340108759,0.3192297009820081,0.4855067585832983,HNSCC
ALS2CL,-0.093864693274916,0.3583351301620949,0.5256444328129888,HNSCC
ALYREF,-0.1211580665446982,0.3235913169458505,0.4900858087988716,HNSCC
AMACR,0.1685255708125957,0.2270236040717941,0.3842301608656953,HNSCC
AMBP,-0.1354730525215655,0.4377068026626005,0.5995107780288877,HNSCC
AMBRA1,0.3511131928892715,0.0614509425798231,0.1478582758545362,HNSCC
AMDHD2,0.3992892840926917,0.0097264107058394,0.0369073763437146,HNSCC
AMFR,-0.0007061191864008,0.9649889325259656,0.9815971701255052,HNSCC
AMMECR1,0.6051383217452084,0.0040967531120726,0.0190211685659712,HNSCC
AMOT,-0.2616147247726195,0.2287455229486158,0.3862729592718444,HNSCC
AMOTL1,0.2665032843604272,0.0595187321460371,0.1443488375747709,HNSCC
AMOTL2,0.022834049518191,0.8949357860460847,0.942485290013112,HNSCC
AMPD1,-0.3240035845806202,0.0054208078092954,0.0236104143618798,HNSCC
AMPD2,0.0800727601186317,0.4989716665330971,0.6548943342309369,HNSCC
AMPD3,0.1220226659741732,0.0990451894674734,0.210800673873156,HNSCC
